"","distance","location","Model"
"42",3.16858854583364,"armstrong","Pots"
"43",3.1316168848094,"armstrong","Pots"
"44",2.89301629795317,"armstrong","Pots"
"45",2.84411490204,"armstrong","Pots"
"46",2.89506996302738,"armstrong","Pots"
"47",2.85865004085489,"armstrong","Pots"
"48",2.81454345919618,"armstrong","Pots"
"49",2.82564984303655,"armstrong","Pots"
"50",2.85470058365846,"armstrong","Pots"
"51",2.81845665026819,"armstrong","Pots"
"52",2.86709053795394,"armstrong","Pots"
"53",2.92401284780562,"armstrong","Pots"
"54",2.90466695719323,"armstrong","Pots"
"55",2.86201577223242,"armstrong","Pots"
"56",2.8417896912094,"armstrong","Pots"
"57",2.81541038257366,"armstrong","Pots"
"58",2.84738440759084,"armstrong","Pots"
"59",2.90324953624091,"armstrong","Pots"
"60",2.68396245800977,"armstrong","Pots"
"61",2.65957538715771,"armstrong","Pots"
"62",2.63349689629435,"armstrong","Pots"
"63",2.60449028522357,"armstrong","Pots"
"64",2.64177169199662,"armstrong","Pots"
"65",2.65914229787325,"armstrong","Pots"
"66",2.61164734163963,"armstrong","Pots"
"67",2.65007389789955,"armstrong","Pots"
"68",2.66888988737649,"armstrong","Pots"
"69",2.69022202502032,"armstrong","Pots"
"70",2.71357906500302,"armstrong","Pots"
"71",2.73355948303504,"armstrong","Pots"
"72",2.70700058172256,"armstrong","Pots"
"73",2.68634426976925,"armstrong","Pots"
"74",2.7139937705039,"armstrong","Pots"
"75",2.7398836033397,"armstrong","Pots"
"76",2.74465177195486,"armstrong","Pots"
"77",2.77168107879873,"armstrong","Pots"
"78",2.65134536160347,"armstrong","Pots"
"79",2.69187930930286,"armstrong","Pots"
"80",2.72562151965412,"armstrong","Pots"
"81",2.61997290117113,"armstrong","Pots"
"82",2.74851787952116,"armstrong","Pots"
"83",2.77870571179476,"armstrong","Pots"
"84",2.7611530775424,"armstrong","Pots"
"85",2.67779401670887,"armstrong","Pots"
"86",2.71669961597021,"armstrong","Pots"
"87",2.47571064288811,"armstrong","Pots"
"88",2.46287873370313,"armstrong","Pots"
"89",2.45074126225871,"armstrong","Pots"
"90",2.43741213245669,"armstrong","Pots"
"91",2.47377422441609,"armstrong","Pots"
"92",2.50583674511585,"armstrong","Pots"
"93",2.50326760966025,"armstrong","Pots"
"94",2.45968895030359,"armstrong","Pots"
"95",2.4188279066321,"armstrong","Pots"
"96",2.46786217126945,"armstrong","Pots"
"97",2.42270382387966,"armstrong","Pots"
"98",2.44906654151432,"armstrong","Pots"
"99",2.40305809640281,"armstrong","Pots"
"100",2.4185438737059,"armstrong","Pots"
"101",2.44367233937653,"armstrong","Pots"
"102",2.53412967234896,"armstrong","Pots"
"103",2.52241767876477,"armstrong","Pots"
"104",2.50687426010396,"armstrong","Pots"
"105",2.55356489670989,"armstrong","Pots"
"106",2.5352543706186,"armstrong","Pots"
"107",2.5114417289813,"armstrong","Pots"
"108",2.55550335097479,"armstrong","Pots"
"109",2.55229152893258,"armstrong","Pots"
"110",2.58669523918704,"armstrong","Pots"
"111",2.57237473776679,"armstrong","Pots"
"112",2.60286392025818,"armstrong","Pots"
"113",2.62713381548145,"armstrong","Pots"
"114",2.60988162991941,"armstrong","Pots"
"115",2.58265643329962,"armstrong","Pots"
"116",2.54181394918057,"armstrong","Pots"
"117",2.50672729178659,"armstrong","Pots"
"118",2.59028165771261,"armstrong","Pots"
"119",2.65260668804637,"armstrong","Pots"
"120",2.62629648332646,"armstrong","Pots"
"121",2.60487205454721,"armstrong","Pots"
"122",2.64604748976878,"armstrong","Pots"
"123",2.65354129626974,"armstrong","Pots"
"124",2.39767430872437,"armstrong","Pots"
"125",2.37259031442839,"armstrong","Pots"
"126",2.3726470749243,"armstrong","Pots"
"127",2.36002472627648,"armstrong","Pots"
"128",2.38706158749935,"armstrong","Pots"
"129",2.34468890844858,"armstrong","Pots"
"130",2.37080680071058,"armstrong","Pots"
"131",2.31249835847676,"armstrong","Pots"
"132",2.31315192779801,"armstrong","Pots"
"133",2.33846727225875,"armstrong","Pots"
"134",2.33667530303285,"armstrong","Pots"
"135",2.30460841056103,"armstrong","Pots"
"136",2.27896219928842,"armstrong","Pots"
"137",2.31439137089308,"armstrong","Pots"
"138",2.34673590259009,"armstrong","Pots"
"139",2.18986199950388,"armstrong","Pots"
"140",2.21754661241979,"armstrong","Pots"
"141",2.20542265595271,"armstrong","Pots"
"142",2.16822447242214,"armstrong","Pots"
"143",1.97804273270797,"armstrong","Pots"
"144",1.93816967907849,"armstrong","Pots"
"145",2.051600658334,"armstrong","Pots"
"146",2.00862457870552,"armstrong","Pots"
"147",1.97869744255392,"armstrong","Pots"
"148",1.96246050052502,"armstrong","Pots"
"149",1.99196358899149,"armstrong","Pots"
"150",2.02481059089547,"armstrong","Pots"
"151",2.04811653265874,"armstrong","Pots"
"152",1.99744001985053,"armstrong","Pots"
"438",1.3399070485186,"armstrong","Pots"
"439",1.2899094729915,"armstrong","Pots"
"440",1.35701375105945,"armstrong","Pots"
"441",1.17549926470925,"armstrong","Pots"
"442",1.31668555687797,"armstrong","Pots"
"443",1.3472357950073,"armstrong","Pots"
"444",1.3799136081069,"armstrong","Pots"
"445",1.41757351926661,"armstrong","Pots"
"446",1.48416330105832,"armstrong","Pots"
"447",1.51256182355981,"armstrong","Pots"
"448",1.50729831534633,"armstrong","Pots"
"449",1.57924187811711,"armstrong","Pots"
"450",1.63415323805103,"armstrong","Pots"
"451",1.66307585187861,"armstrong","Pots"
"452",1.77344537636327,"armstrong","Pots"
"453",1.73956149560895,"armstrong","Pots"
"454",1.63660166980361,"armstrong","Pots"
"455",1.71035950641179,"armstrong","Pots"
"456",1.69266180362984,"armstrong","Pots"
"457",1.79593806230762,"armstrong","Pots"
"458",1.82353014239875,"armstrong","Pots"
"459",1.85781507965452,"armstrong","Pots"
"460",1.79907560864178,"armstrong","Pots"
"461",1.79907560864178,"armstrong","Pots"
"462",1.84160175035004,"armstrong","Pots"
"463",1.85563808033606,"armstrong","Pots"
"464",1.88292418256254,"armstrong","Pots"
"465",1.89696904797768,"armstrong","Pots"
"466",1.84582448437762,"armstrong","Pots"
"467",1.89526864042635,"armstrong","Pots"
"468",1.96605270635378,"armstrong","Pots"
"469",1.95349786346863,"armstrong","Pots"
"470",1.98647990118357,"armstrong","Pots"
"471",1.99018831822486,"armstrong","Pots"
"472",1.98441092606338,"armstrong","Pots"
"473",2.01529630109392,"armstrong","Pots"
"474",2.05766537649772,"armstrong","Pots"
"475",2.03504243563433,"armstrong","Pots"
"476",2.03080204032788,"armstrong","Pots"
"477",2.07946425419959,"armstrong","Pots"
"478",2.0703913867791,"armstrong","Pots"
"479",2.08152845319011,"armstrong","Pots"
"480",2.14967996757648,"armstrong","Pots"
"481",2.1134375290148,"armstrong","Pots"
"482",2.21399205948728,"armstrong","Pots"
"483",2.23063252821967,"armstrong","Pots"
"484",2.22575453447823,"armstrong","Pots"
"485",2.31073259268125,"armstrong","Pots"
"486",2.29187791818003,"armstrong","Pots"
"487",2.29374840688273,"armstrong","Pots"
"488",2.40304313322519,"armstrong","Pots"
"489",2.35373837784255,"armstrong","Pots"
"490",2.41969209719927,"armstrong","Pots"
"491",2.38525487892385,"armstrong","Pots"
"492",2.5211818653338,"armstrong","Pots"
"493",0.95209357274166,"armstrong","Pots"
"494",0.915834335896252,"armstrong","Pots"
"495",0.954689288752291,"armstrong","Pots"
"496",0.990061530186174,"armstrong","Pots"
"497",0.94928131463756,"armstrong","Pots"
"498",1.00215361798194,"armstrong","Pots"
"499",0.94994968790181,"armstrong","Pots"
"500",0.988912184577464,"armstrong","Pots"
"501",0.980933514829519,"armstrong","Pots"
"502",1.02148284964121,"armstrong","Pots"
"503",1.03733693176209,"armstrong","Pots"
"504",1.06190618354609,"armstrong","Pots"
"505",1.02351882505794,"armstrong","Pots"
"506",1.02246443894635,"armstrong","Pots"
"507",1.06054941641466,"armstrong","Pots"
"508",1.09529690267218,"armstrong","Pots"
"509",1.09753177937116,"armstrong","Pots"
"510",1.05980023413016,"armstrong","Pots"
"511",1.10079831511824,"armstrong","Pots"
"512",1.05523010446671,"armstrong","Pots"
"513",1.13159251467667,"armstrong","Pots"
"514",1.09506311536811,"armstrong","Pots"
"515",1.0584473237453,"armstrong","Pots"
"516",1.12725579801526,"armstrong","Pots"
"517",1.15436630516693,"armstrong","Pots"
"518",1.1810854894284,"armstrong","Pots"
"519",1.14275272104025,"armstrong","Pots"
"520",1.17715087941646,"armstrong","Pots"
"521",1.1936475722477,"armstrong","Pots"
"522",1.2521919735354,"armstrong","Pots"
"523",1.24793971676295,"armstrong","Pots"
"524",1.26230970150378,"armstrong","Pots"
"525",1.29833526056647,"armstrong","Pots"
"526",1.30604291756976,"armstrong","Pots"
"527",1.27604320607334,"armstrong","Pots"
"528",1.29509455509747,"armstrong","Pots"
"529",1.35321965055723,"armstrong","Pots"
"530",1.3456632668339,"armstrong","Pots"
"531",1.37874476283432,"armstrong","Pots"
"532",1.34238282333468,"armstrong","Pots"
"533",0.711814203549174,"armstrong","Pots"
"534",0.670319607301549,"armstrong","Pots"
"535",0.700559767485896,"armstrong","Pots"
"536",0.738581614933401,"armstrong","Pots"
"537",0.6912638469885,"armstrong","Pots"
"538",0.742700871506431,"armstrong","Pots"
