dst_sank,zone,lat,lon,year,Model
55.8905,N,-31.986364882666237,115.51453979556051,2014,Pots
29.1489,N,-31.986454963193413,115.51428756808043,2014,Pots
40.3032,N,-31.98658107725135,115.51448574646659,2014,Pots
62.6373,N,-31.986509012767193,115.51466590912129,2014,Pots
77.6053,N,-31.98625678553983,115.51473797322144,2014,Pots
58.2979,N,-31.986076622873863,115.5144316982231,2014,Pots
38.0713,N,-31.98620273681653,115.5142695518421,2014,Pots
82.4456,N,-31.98593249338259,115.51464789292727,2014,Pots
84.983,N,-31.986400914841795,115.51491813566432,2014,Pots
55.8905,N,-31.986743222835972,115.51473797360188,2014,Pots
154.323,N,-31.98546407100556,115.51524242741334,2014,Pots
147.703,N,-31.985283908668833,115.51508028136679,2014,Pots
174.393,N,-31.985085730537,115.5153144926249,2014,Pots
176.671,N,-31.985373990268275,115.51544060633337,2014,Pots
188.443,N,-31.985211843593355,115.51553068737125,2014,Pots
188.443,N,-31.985500104019238,115.51565680084845,2014,Pots
167.597,N,-31.985698281913788,115.51547663857095,2014,Pots
134.602,N,-31.98566224983183,115.51515234722721,2014,Pots
124.975,N,-31.985482087339832,115.51491813611524,2014,Pots
152.285,N,-31.9849776333309,115.51499020038294,2014,Pots
282.255,N,-31.98452722756119,115.51626935329413,2014,Pots
261.911,N,-31.9845452438434,115.51603514197846,2014,Pots
231.146,N,-31.984761438219014,115.51580093142613,2014,Pots
257.096,N,-31.984779454901556,115.51607117430923,2014,Pots
286.299,N,-31.984743421638278,115.51639546616391,2014,Pots
306.574,N,-31.984383097447036,115.51644951472763,2014,Pots
282.255,N,-31.984220951821428,115.5161072071485,2014,Pots
259.419,N,-31.9842029355793,115.5158189472561,2014,Pots
240.472,N,-31.984437145784533,115.51571084967595,2014,Pots
260.955,N,-31.98436508107881,115.51594506101762,2014,Pots
368.606,N,-31.98500249508253,115.51746195916573,2014,Pots
353.341,N,-31.985120951803598,115.51736719420829,2014,Pots
369.554,N,-31.985168334548206,115.51758041624099,2014,Pots
391.393,N,-31.984990650187864,115.51771071899967,2014,Pots
380.712,N,-31.984812964491475,115.51754487974546,2014,Pots
369.047,N,-31.984765581595546,115.51735534803758,2014,Pots
356.475,N,-31.98493142104653,115.51728427463081,2014,Pots
379.727,N,-31.984931421555387,115.51756857015567,2014,Pots
