"","distance","location","Model"
"1",0.687194670866238,"parker","Pots"
"2",0.717436262108112,"parker","Pots"
"3",0.879055391197056,"parker","Pots"
"4",0.809608964505565,"parker","Pots"
"5",0.795081776395205,"parker","Pots"
"6",0.763641339253554,"parker","Pots"
"7",0.801669808565198,"parker","Pots"
"8",0.782737416530687,"parker","Pots"
"9",0.819708029915237,"parker","Pots"
"10",0.738346077346469,"parker","Pots"
"11",0.81014904041975,"parker","Pots"
"12",0.620365860054562,"parker","Pots"
"13",0.596178910882412,"parker","Pots"
"14",0.569695710453118,"parker","Pots"
"15",0.65434949299834,"parker","Pots"
"16",0.673539777159834,"parker","Pots"
"17",0.608260486463767,"parker","Pots"
"18",0.589517391276654,"parker","Pots"
"19",0.649545397272237,"parker","Pots"
"20",0.630894728066542,"parker","Pots"
"21",0.499904869934916,"parker","Pots"
"22",0.50220176467845,"parker","Pots"
"23",0.874446674222923,"parker","Pots"
"24",0.887503122209978,"parker","Pots"
"25",0.810527889400606,"parker","Pots"
"26",0.659996493206004,"parker","Pots"
"27",0.664790416902589,"parker","Pots"
"28",0.740475410082199,"parker","Pots"
"29",0.795473560552398,"parker","Pots"
"30",0.772270870002619,"parker","Pots"
"31",0.728306451550207,"parker","Pots"
"32",0.813369106914433,"parker","Pots"
"33",0.828529810106446,"parker","Pots"
"34",0.897566876208484,"parker","Pots"
"35",0.943024251557017,"parker","Pots"
"36",0.87174687502612,"parker","Pots"
"37",0.912827082343656,"parker","Pots"
"38",0.917001008694099,"parker","Pots"
"39",0.773273395751138,"parker","Pots"
"40",0.824141647964164,"parker","Pots"
"504",2.67439514054493,"parker","Pots"
"505",2.74193312376576,"parker","Pots"
"506",2.73286322611465,"parker","Pots"
"507",2.78950418524597,"parker","Pots"
"508",2.85192013616948,"parker","Pots"
"509",2.97406998801199,"parker","Pots"
"510",3.08182905774753,"parker","Pots"
"511",2.94811525136913,"parker","Pots"
"512",2.9776965959339,"parker","Pots"
"513",2.88924019279059,"parker","Pots"
"516",2.60440844566904,"parker","Pots"
"517",2.41064716252384,"parker","Pots"
"518",2.29735991221848,"parker","Pots"
"519",2.32766478490288,"parker","Pots"
"520",2.08450277109974,"parker","Pots"
"521",1.9590641411694,"parker","Pots"
"522",2.10286080282422,"parker","Pots"
"523",2.00248015552253,"parker","Pots"
"524",2.17358727584669,"parker","Pots"
"525",2.09396485595922,"parker","Pots"
"526",1.86749555734703,"parker","Pots"
"527",1.79930018165082,"parker","Pots"
"528",1.38909185913971,"parker","Pots"
"529",1.29746330960738,"parker","Pots"
