X,Y
115.5128625,-32.01468879
115.5130085,-32.01542179
115.5140414,-32.01688777
115.5172186,-32.0174018
115.5192619,-32.01810622
115.4875907,-31.9994659
115.4877479,-31.99919931
115.4881296,-31.99879943
115.4882418,-31.998609
115.4882418,-31.99819007
115.4885786,-31.99822816
115.4888032,-31.99828528
115.4887807,-31.99803773
115.4891624,-31.99828528
115.4891624,-31.99799965
115.4890277,-31.99759976
115.4894543,-31.99786635
115.4890053,-31.99777114
115.4893645,-31.99763784
115.4892972,-31.9974855
115.4894319,-31.99819007
115.4911608,-31.99819007
115.4908465,-31.99857092
115.4897687,-31.99767593
115.4897013,-31.99794252
115.4900831,-31.99792348
115.4899259,-31.9981139
115.4896789,-31.99832337
115.4901729,-31.99767593
115.4901729,-31.99828528
115.490375,-31.99805678
115.4904199,-31.99777114
115.4902178,-31.99851379
115.4897912,-31.99733316
115.5004343,-31.9903062
115.5007262,-31.99055377
115.4999852,-31.99066803
115.5011304,-31.99085847
115.5010181,-31.99097273
115.5016917,-31.99114413
115.5014896,-31.99141074
115.5018938,-31.99137265
115.5017815,-31.99160118
115.5015345,-31.99160118
115.5013325,-31.99141074
115.4964151,-31.99186779
115.4973357,-31.99171544
115.496909,-31.99102987
115.498144,-31.99125839
115.4976949,-31.99360075
115.4980991,-31.99381023
115.4984135,-31.99354362
115.4978521,-31.9931818
115.4983461,-31.99316275
115.5012202,-31.99192492
115.5010406,-31.99219153
115.5007711,-31.99240101
115.5004343,-31.99373405
115.4983012,-31.99228675
115.4985033,-31.9920011
115.4989299,-31.99167735
115.4993565,-31.99150596
115.499873,-31.99154405
115.4996933,-31.9920011
115.4993116,-31.99202014
115.4988401,-31.99234388
115.4992667,-31.99230579
115.4989523,-31.99272475
115.4988625,-31.99207727
115.5004343,-31.99186779
115.4998281,-31.99240101
115.4987727,-31.99120126
115.4992442,-31.9907823
115.4979644,-31.99209631
115.4984135,-31.99148692
115.4987727,-31.9909156
115.5003669,-31.99125839
115.5000526,-31.9912203
115.4994239,-31.99141074
115.4995811,-31.99104891
115.5000526,-31.99167735
115.5006588,-31.99163927
115.499873,-31.99120126
115.4996035,-31.9918297
115.4977847,-31.99240101
115.5145803,-31.98684012
115.5146476,-31.98645923
115.5140414,-31.98624974
115.5143557,-31.98604024
115.5139965,-31.98567839
115.5137046,-31.98514513
115.5134576,-31.98451664
115.513233,-31.98461186
115.513233,-31.9840786
115.5128064,-31.98333583
115.5124471,-31.98257401
115.4866252,-32.00213176
115.4862659,-32.00201751
115.4863333,-32.00236026
115.4860414,-32.00260779
115.4857495,-32.00224601
115.4847615,-32.00455
115.4838409,-32.00314095
115.4851432,-32.00411206
115.4846043,-32.00367411
115.4852555,-32.00369315
115.4850309,-32.00331233
115.4844696,-32.00312191
115.4850085,-32.00300766
115.4844471,-32.0019223
115.4846268,-32.00131297
115.4846717,-32.0016938
115.4842001,-32.00167476
115.4840205,-32.00213176
115.4843124,-32.00266492
115.4848513,-32.00197942
115.4843798,-32.0023793
115.4852555,-32.00178901
115.4853677,-32.00199847
115.4846492,-32.00251259
115.4852555,-32.00226505
115.4851881,-32.00277917
115.4858842,-32.00304575
115.4855025,-32.00338849
115.4868048,-32.00264588
115.4862884,-32.00306479
115.4861312,-32.00342657
115.4856596,-32.00369315
115.4853453,-32.00287437
115.485727,-32.00209367
115.4855025,-32.00133201
115.4789684,-32.00833909
115.4785642,-32.00911974
115.478901,-32.00923398
115.4783846,-32.01003366
115.478407,-32.01035733
115.4783172,-32.01066197
115.4775089,-32.00852949
115.4768577,-32.00923398
115.4769251,-32.00988134
115.4763862,-32.00959574
115.4756677,-32.00993846
115.474051,-32.01254689
115.4719179,-32.01363213
115.4725915,-32.01387964
115.4742082,-32.01338462
115.4748818,-32.01290864
115.4754656,-32.01239457
115.4764086,-32.01157588
115.4775089,-32.01151876
115.4755778,-32.01113796
115.4764086,-32.01054773
115.4637895,-32.0146412
115.4636324,-32.0142033
115.4629587,-32.01446985
115.4620606,-32.01441273
115.462824,-32.01401291
115.4634976,-32.01384156
115.4623076,-32.01380348
115.4619932,-32.0132323
115.4614543,-32.01353693
115.461387,-32.01281344
115.4610502,-32.01325134
115.4605786,-32.01248977
115.4624648,-32.01287056
115.4625995,-32.01260401
115.4628914,-32.01285152
115.4628689,-32.01197571
115.4632057,-32.01184243
115.4631608,-32.01228034
115.4634976,-32.01214706
115.4637446,-32.01165203
115.464306,-32.01149972
115.4643958,-32.01218514
115.4636997,-32.01271824
115.4636324,-32.01304191
115.4641937,-32.01287056
115.4640141,-32.01340366
115.4628914,-32.01092853
115.4635201,-32.01089045
115.4642386,-32.01073813
115.4648224,-32.01022406
115.4651817,-32.01113796
115.4655634,-32.01174723
115.4658778,-32.01119508
115.4662819,-32.01079525
115.466237,-32.01218514
115.4665738,-32.01239457
115.4665065,-32.01121412
115.4666861,-32.01169011
115.4671352,-32.01174723
115.4676067,-32.01161396
115.4709972,-32.01077621
115.4721199,-32.01007174
115.472569,-32.00963382
115.4742531,-32.00870085
115.4747695,-32.0079202
115.4756677,-32.00809157
115.458468,-32.01441273
115.4575249,-32.01456504
115.4562001,-32.01486966
115.4558858,-32.01446985
115.4552346,-32.01456504
115.454067,-32.01475543
115.4532362,-32.01940081
115.4527198,-32.01924851
115.4522033,-32.01928658
115.4715586,-32.0182966
115.4722098,-32.01768738
115.4723894,-32.01858217
115.4729956,-32.01856314
115.47331,-32.01785872
