X,Y
115.4882977,-32.00010755
115.4880694,-31.99968172
115.4884803,-31.99982366
115.4877955,-31.99969462
115.4880999,-31.99988818
115.4879173,-31.99948816
115.4884042,-31.99952687
115.4863652,-32.00332056
115.4859696,-32.00360444
115.4863044,-32.00365605
115.4865174,-32.00399154
115.4866696,-32.00355282
115.4862739,-32.00388831
115.4858783,-32.00378509
115.4863044,-32.00412057
115.4868826,-32.00396573
115.4866391,-32.00414638
115.4864565,-32.00350121
115.4863957,-32.00432703
115.4853306,-32.00440445
115.485574,-32.0046109
115.4858479,-32.00476574
115.4862131,-32.0046109
115.4854523,-32.00412057
115.4860305,-32.00458509
115.486487,-32.00448187
115.4977468,-31.99390056
115.4974121,-31.99377151
115.4976555,-31.99366827
115.4970469,-31.99369408
115.4973208,-31.99348761
115.497899,-31.99366827
115.4978686,-31.99315208
115.4975338,-31.99310046
115.4973512,-31.99291979
115.4970469,-31.99310046
115.4975034,-31.99219711
115.4971991,-31.99230035
115.4973512,-31.99188739
115.4975338,-31.99152605
115.4979599,-31.99137119
115.4977468,-31.99168091
115.498325,-31.99144862
115.4983555,-31.99121633
115.4986294,-31.99116471
115.4986598,-31.99077755
115.4988424,-31.99077755
115.4989945,-31.99046783
115.4991467,-31.99054526
115.4992684,-31.99044201
115.4996032,-31.99028715
115.4982033,-31.9911389
115.5010944,-31.99023553
115.5006987,-31.99023553
115.4999075,-31.9906485
115.4993902,-31.99111309
115.499238,-31.99131957
115.4993293,-31.98969351
115.4986902,-31.99013229
115.4980816,-31.99051945
115.5004857,-31.99070012
115.5011552,-31.99077755
115.5148801,-31.9864413
115.5153061,-31.9864413
115.5150627,-31.9862348
115.5147888,-31.98618318
115.514454,-31.98605412
115.515154,-31.98587344
115.5148801,-31.98587344
115.5141801,-31.98564113
115.5140584,-31.98530558
115.5137541,-31.98507327
115.5138758,-31.98484096
115.5135411,-31.98466028
115.5136019,-31.98435053
115.5135106,-31.98401497
115.5140584,-31.98427309
115.5140584,-31.98473771
115.513328,-31.98367941
115.5132367,-31.98334385
115.5129933,-31.98316316
115.5126281,-31.98282759
115.5126281,-31.98238878
115.5142714,-31.98525395
115.5166756,-32.01673917
115.5173451,-32.01681658
115.5158539,-32.01751326
115.5166756,-32.0179261
115.5162191,-32.01877759
115.5171016,-32.0189066
115.5199318,-32.02014512
115.5159756,-32.02060955
115.5150018,-32.02042894
115.5142714,-32.02040314
115.5134498,-32.02011931
115.5124759,-32.0199903
115.5132367,-32.021203
115.5148801,-32.0228543
115.5418733,-31.98814485
115.5427558,-31.98845458
115.5440644,-31.98700915
115.5447035,-31.98688009
115.5436383,-31.98662198
115.5435166,-31.98729308
115.5448861,-31.98620899
115.54446,-31.9860025
115.5443383,-31.98662198
115.5450687,-31.98548626
115.5453425,-31.98587344
115.5454643,-31.9864413
115.5463468,-31.98620899
115.545799,-31.98602831
115.5456164,-31.98543464
115.5461642,-31.98566694
115.5459207,-31.9851507
115.5454338,-31.98520233
115.544247,-31.98718983
115.546925,-31.98561532
115.5462859,-31.98527976
115.5337479,-31.98207902
115.5331393,-31.98264691
115.5331393,-31.98347291
115.5338088,-31.98305991
115.5345392,-31.98275016
115.5345392,-31.98367941
115.5306439,-31.98538301
115.5315568,-31.98626061
115.5333219,-31.98657035
115.5351478,-31.98693172
115.5369129,-31.98626061
115.537278,-31.98558951
115.5346609,-31.985796
115.5367303,-31.98435053
115.5349043,-31.98476352
115.5336871,-31.98476352
115.5325307,-31.98517652
115.5322872,-31.98414403
115.5322263,-31.98682847
115.5382519,-31.98558951
115.538191,-31.98476352
115.5375824,-31.98398916
115.5353913,-31.98424728
115.5353913,-31.98269853
115.5346609,-31.98171764
115.535513,-31.98192415
115.5363042,-31.98280178
115.5360608,-31.98367941
115.5378867,-31.98254365
115.5384345,-31.98357616
115.5398343,-31.98388591
115.5343566,-31.98037536
115.5350869,-31.98073674
115.536426,-31.98089162
115.5364868,-31.98182089
115.5374606,-31.98120138
115.5370346,-31.98011722
115.5389822,-31.98176927
115.5379476,-31.98182089
115.5372172,-31.98347291
115.5329567,-31.98419566
115.5349652,-31.98517652
115.5340523,-31.98548626
